player_id,name,player_name,team_name,games,minutes,actions,offensive,defensive,vaep,offensive_p90,defensive_p90,vaep_p90,goals,assists,goals_p90,assists_p90,ga_p90,rank_goals_p90,rank_assists_p90,rank_ga_p90,rank_vaep_p90
23806.0,Álex Bergantiños,Alejandro Bergantiños García,RC Deportivo La Coruña,22,1810,1755,2.743740690726554,0.4770909490180202,3.220831639744574,0.1364290951189999,0.0237227543710617,0.1601518494900617,2.0,0.0,0.0994475138121547,0.0,0.0994475138121547,112,194,164,99
6841.0,Vitolo,Víctor Machín Pérez,Sevilla,28,2130,2020,4.038160362862982,-0.2488059206516482,3.7893544422113337,0.1706264942054781,-0.0105129262247175,0.1601135679807605,2.0,3.0,0.08450704225352113,0.1267605633802817,0.2112676056338028,126,45,102,100
6649.0,De Marcos,Óscar de Marcos Arana,Athletic Club,34,3002,3161,4.738413138140459,0.5204804856330156,5.258893623773474,0.1420576890182016,0.0156040118943942,0.1576617009125958,1.0,2.0,0.029980013324450366,0.05996002664890073,0.0899400399733511,207,130,175,101
6569.0,Roberto Rosales,Roberto José Rosales Altuve,Málaga,35,3203,3355,5.016594656946836,0.5724959629878867,5.589090619934723,0.1409595751249501,0.0160863679890445,0.1570459431139947,0.0,2.0,0.0,0.05619731501717141,0.05619731501717141,212,137,226,102
6392.0,Iñigo Lekue,Íñigo Lekue Martínez,Athletic Club,20,1212,1271,2.0564188068285585,0.0408720614941557,2.0972908683227143,0.1527043668437048,0.0030350540713482,0.155739420915053,1.0,0.0,0.07425742574257425,0.0,0.07425742574257425,142,194,193,103
7782.0,Luis Alberto,Luis Alberto Romero Alconchel,RC Deportivo La Coruña,29,2168,2004,4.083032389837317,-0.3768240263743792,3.706208363462938,0.1694985770688923,-0.0156430638255046,0.1538555132433876,6.0,2.0,0.24907749077490773,0.08302583025830258,0.33210332103321033,54,94,61,104
5201.0,Sergio Ramos,Sergio Ramos García,Real Madrid,23,2002,2565,4.039109116740292,-0.6181014606991084,3.4210076560411835,0.1815783319213917,-0.0277867789525073,0.1537915529688843,2.0,0.0,0.0899100899100899,0.0,0.0899100899100899,121,194,176,105
6700.0,Sergi Enrich,Sergio Enrich Ametller,Eibar,38,2512,1864,4.81565245508682,-0.5555534702871228,4.260098984799697,0.1725353188526328,-0.0199043838876755,0.1526309349649573,9.0,4.0,0.32245222929936307,0.14331210191082802,0.4657643312101911,39,37,32,106
6842.0,Iker Muniain,Iker Muniain Goñi,Athletic Club,20,1062,1236,1.7917748350300826,0.0057363724044989,1.7975112074345816,0.1518453250025493,0.0004861332546185,0.1523314582571679,2.0,0.0,0.1694915254237288,0.0,0.1694915254237288,75,194,118,107
6771.0,Manu Trigueros,Manuel Trigueros Muñoz,Villarreal,31,2204,2492,3.540166926858016,0.1764602293842472,3.716627156242263,0.1445621703344924,0.0072057262452732,0.1517678965797657,2.0,1.0,0.08166969147005444,0.04083484573502722,0.12250453720508167,131,162,144,108
24149.0,Verza,José Antonio García Rabasco,Levante UD,29,2216,2587,4.428348206155214,-0.6933422746806173,3.735005931474597,0.1798516870730908,-0.0281592079067037,0.151692479166387,2.0,1.0,0.0812274368231047,0.04061371841155235,0.12184115523465705,133,164,146,109
26211.0,Joan Verdú,Joan Verdú Fernández,Levante UD,13,949,1042,1.5990137543086893,0.0004692251677624,1.5994829794764518,0.151645140029275,4.4499752474840815e-05,0.1516896397817499,1.0,1.0,0.09483667017913593,0.09483667017913593,0.18967334035827185,114,72,108,110
6394.0,Aritz Aduriz,Aritz Aduriz Zubeldia,Athletic Club,34,2889,1829,5.866807498599999,-1.0010835533903446,4.865723945209655,0.182766588741433,-0.0311864035324094,0.1515801852090235,20.0,4.0,0.6230529595015576,0.12461059190031154,0.7476635514018691,10,49,9,111
23994.0,Álex Menéndez,Alejandro Menéndez Díez,Sporting Gijón,21,1101,895,1.7610549215197098,0.0883168496366124,1.8493717711563225,0.143955443175998,0.0072193610057176,0.1511748041817157,2.0,1.0,0.16348773841961853,0.08174386920980926,0.2452316076294278,77,96,93,112
6801.0,Pablo Hernández,Pedro Pablo Hernández,Celta Vigo,33,2377,3183,4.14275708142668,-0.1592370126454625,3.9835200687812176,0.1568565996333198,-0.0060291674960419,0.1508274321372779,2.0,1.0,0.07572570466975179,0.03786285233487589,0.11358855700462768,139,172,154,113
5539.0,Casemiro,Carlos Henrique Casimiro,Real Madrid,23,1590,2169,2.34199854626786,0.321977433108259,2.663975979376118,0.1325659554491241,0.018225137723109,0.1507910931722331,1.0,0.0,0.056603773584905655,0.0,0.056603773584905655,172,194,225,114
6609.0,Denis Suárez,Denis Suárez Fernández,Villarreal,33,2474,2556,5.003257877782919,-0.8706831632880494,4.1325747144948695,0.1820101895717311,-0.031674003514925,0.150336186056806,4.0,3.0,0.14551333872271624,0.1091350040420372,0.25464834276475345,85,58,87,115
27346.0,Petros,Petros Matheus dos Santos Araújo,Real Betis,30,2420,2495,3.2592121670313645,0.7481258238549344,4.007337990886299,0.1212103698482739,0.0278228612177454,0.1490332310660193,1.0,0.0,0.0371900826446281,0.0,0.0371900826446281,193,194,242,116
6675.0,Antonio Luna,Antonio Manuel Luna Rodríguez,Eibar,15,1040,991,1.9166681314171288,-0.203184507554397,1.7134836238627322,0.1658655113726362,-0.0175832746922074,0.1482822366804287,0.0,0.0,0.0,0.0,0.0,212,194,257,117
8522.0,Bruma,Armindo Tué Na Bangna,Real Sociedad,32,1526,1789,2.7717858356414364,-0.2891869414015673,2.482598894239869,0.1634736076066378,-0.0170555863211933,0.1464180212854444,2.0,1.0,0.11795543905635648,0.05897771952817824,0.17693315858453473,96,132,116,118
20016.0,Pepe,Kléper Laveran Lima Ferreira,Real Madrid,21,1951,2302,3.0383584837804083,0.1329618739982834,3.171320357778692,0.1401600530703417,0.0061335564632729,0.1462936095336147,1.0,1.0,0.04613018964633521,0.04613018964633521,0.09226037929267042,182,155,170,119
6712.0,Gonzalo Escalante,Gonzalo Escalante,Eibar,34,2914,2812,4.83218470835709,-0.1020571190165355,4.7301275893405546,0.1492438653919485,-0.0031520729963926,0.1460917923955559,3.0,0.0,0.09265614275909403,0.0,0.09265614275909403,117,194,168,120
7034.0,Mateo Musacchio,Mateo Pablo Musacchio,Villarreal,13,1046,946,1.5140194186824374,0.1825602515600621,1.6965796702424996,0.1302693572480108,0.0157078610328925,0.1459772182809034,1.0,0.0,0.08604206500956023,0.0,0.08604206500956023,122,194,182,121
6802.0,Jonny Castro,Jonathan Castro Otto,Celta Vigo,36,3083,3652,5.229209288139828,-0.2316700326045975,4.99753925553523,0.1526528822356745,-0.0067629915453823,0.1458898906902921,1.0,3.0,0.029192345118391177,0.08757703535517353,0.11676938047356471,210,88,151,122
6561.0,Luis Hernández,Luis Hernández Rodríguez,Sporting Gijón,36,3350,3103,4.544451086167479,0.8686853686231188,5.413136454790598,0.1220897306731561,0.0233378158734569,0.145427546546613,0.0,0.0,0.0,0.0,0.0,212,194,257,123
10763.0,Asier Riesgo,Asier Riesgo Unamuno,Eibar,34,3179,1724,3.939278270059731,1.150356238213135,5.089634508272866,0.1115240781080137,0.0325674933750179,0.1440915714830317,0.0,0.0,0.0,0.0,0.0,212,194,257,124
5724.0,Fayçal Fajr,Fayçal Fajr,RC Deportivo La Coruña,38,2953,3338,4.803364389402792,-0.0879169830877799,4.715447406315012,0.1463944446482395,-0.0026794881401626,0.1437149565080769,5.0,2.0,0.15238740264138165,0.06095496105655266,0.2133423636979343,81,128,101,125
5582.0,Celso Borges,Celso Borges Mora,RC Deportivo La Coruña,24,1982,1854,3.1769375433796085,-0.0151629470346961,3.1617745963449124,0.1442605342604262,-0.0006885293809902,0.143572004879436,3.0,1.0,0.136226034308779,0.045408678102926335,0.18163471241170534,92,156,115,126
6935.0,Adrián Marín,Adrián Marín Gómez,Villarreal,11,970,1044,1.7669336571998429,-0.2287075720669236,1.5382260851329193,0.163942298090707,-0.0212202901917764,0.1427220078989306,0.0,0.0,0.0,0.0,0.0,212,194,257,127
11542.0,Javi Guerra,Javier Guerra Rodríguez,Rayo Vallecano,30,2164,1555,3.941778770295437,-0.53375540941488,3.408023360880557,0.1639371946980542,-0.0221987000218757,0.1417384946761784,12.0,0.0,0.49907578558225507,0.0,0.49907578558225507,17,194,26,128
6576.0,Gorka Iraizoz,Gorka Iraizoz Moreno,Athletic Club,37,3382,2296,5.204859504010528,0.1034486227435991,5.308308126754127,0.1385089755650347,0.0027529201794571,0.1412618957444918,0.0,0.0,0.0,0.0,0.0,212,194,257,129
5217.0,Iago Aspas,Iago Aspas Juncal,Celta Vigo,35,2744,2238,4.644550036119975,-0.374098098516697,4.270451937603278,0.1523358247998534,-0.0122699813653435,0.1400658434345098,14.0,3.0,0.4591836734693877,0.09839650145772595,0.5575801749271136,22,69,22,130
6659.0,Víctor Camarasa,Víctor Camarasa Ferrando,Levante UD,34,2268,2406,3.1026521603635047,0.4049593049858231,3.507611465349328,0.1231211174747422,0.0160698136899136,0.1391909311646558,2.0,1.0,0.07936507936507936,0.03968253968253968,0.11904761904761904,135,167,148,131
6867.0,Pape Diop,Papa Kouly Diop,Espanyol,30,2583,2533,4.302258269075537,-0.3440617983869742,3.958196470688563,0.1499044693057678,-0.0119882159716715,0.1379162533340962,3.0,0.0,0.10452961672473868,0.0,0.10452961672473868,108,194,159,132
6596.0,José Gayá,José Luis Gayà Peña,Valencia,20,1505,1646,2.3127290350352414,-0.0189675560395699,2.2937614789956715,0.1383027329921407,-0.0011342724541935,0.1371684605379471,0.0,0.0,0.0,0.0,0.0,212,194,257,133
23843.0,Diego Mariño,Diego Mariño Villar,Levante UD,23,2153,1434,2.0722257719608024,1.1993213024397846,3.271547074400587,0.0866234646894901,0.0501341928562845,0.1367576575457746,0.0,0.0,0.0,0.0,0.0,212,194,257,134
5560.0,Carlos Vela,Carlos Alberto Vela Garrido,Real Sociedad,35,2834,2857,4.756047865947243,-0.4945757852110546,4.261472080736188,0.1510389230540761,-0.0157063587399417,0.1353325643141344,5.0,3.0,0.1587861679604799,0.09527170077628794,0.25405786873676783,80,71,89,135
4546.0,Dimitri Foulquier,Dimitri Foulquier,Granada,21,1651,1378,2.510811407060828,-0.0308573641523253,2.4799540429085027,0.1368703977198513,-0.0016821094934641,0.1351882882263871,1.0,1.0,0.054512416717141125,0.054512416717141125,0.10902483343428225,175,140,157,136
3497.0,Vicente Iborra,Vicente Iborra De La Fuente,Sevilla,29,1792,1276,3.100242657412309,-0.4160504608007613,2.684192196611548,0.1557041513209307,-0.0208953914464668,0.1348087598744639,7.0,1.0,0.3515625,0.05022321428571428,0.4017857142857143,35,145,43,137
16539.0,Diego Reyes,Diego Antonio Reyes Rosales,Real Sociedad,27,2391,2178,3.1094156528124586,0.4538538030465133,3.563269455858972,0.117041994459691,0.017083581043156,0.1341255755028471,2.0,0.0,0.07528230865746549,0.0,0.07528230865746549,141,194,192,138
7105.0,Fabián Orellana,Fabián Ariel Orellana Valenzuela,Celta Vigo,33,3015,4076,5.200806288247209,-0.7187434764346108,4.482062811812599,0.1552479489029017,-0.0214550291473018,0.1337929197555999,7.0,5.0,0.208955223880597,0.1492537313432836,0.35820895522388063,68,35,50,139
6389.0,Mikel San José,Mikel San José Domínguez,Athletic Club,34,2796,3006,4.137210412781919,0.0151821323670446,4.152392545148963,0.1331720089951261,0.0004886952478662,0.1336607042429923,2.0,2.0,0.06437768240343347,0.06437768240343347,0.12875536480686695,163,124,142,140
6787.0,Pedro López,Pedro López Muñoz,Levante UD,17,1343,1389,2.328968805959448,-0.337381545221433,1.9915872607380152,0.1560738589250561,-0.0226093366120096,0.1334645223130464,1.0,0.0,0.06701414743112435,0.0,0.06701414743112435,157,194,210,141
6789.0,Mikel Balenziaga,Mikel Balenziaga Oruesagasti,Athletic Club,34,3031,2890,4.474970706913155,0.0059552061429712,4.480925913056126,0.1328760684995658,0.0001768289517873,0.1330528974513531,0.0,3.0,0.0,0.08907951171230617,0.08907951171230617,212,82,178,142
3610.0,Roque Mesa,Roque Mesa Quevedo,Las Palmas,34,2901,4392,4.010404967492679,0.2771062978281406,4.28751126532082,0.1244179410804347,0.0085968861787427,0.1330148272591774,1.0,2.0,0.031023784901758014,0.06204756980351603,0.09307135470527404,203,126,167,143
26023.0,Juanfran,Juan Francisco García García,Levante UD,20,1571,1451,2.7010943977446296,-0.4112947054090909,2.2897996923355386,0.1547412449376299,-0.0235623955995023,0.1311788493381276,0.0,0.0,0.0,0.0,0.0,212,194,257,144
6772.0,Mario Gaspar,Mario Gaspar Pérez Martínez,Villarreal,33,2996,3116,4.786044463020517,-0.4589472130173817,4.327097250003135,0.1437730312656363,-0.0137867987889066,0.1299862324767297,2.0,1.0,0.06008010680907877,0.030040053404539385,0.09012016021361816,169,192,174,145
11634.0,Cristiano Piccini,Cristiano Piccini,Real Betis,16,1473,1739,2.0468527929526754,0.0756566323980223,2.1225094253506978,0.1250622887751125,0.0046226048308363,0.1296848936059489,0.0,0.0,0.0,0.0,0.0,212,194,257,146
3601.0,Charly Musonda,Charly Musonda Junior,Real Betis,16,1277,1136,1.965215716772713,-0.1380605708400253,1.827155145932688,0.1385038484804574,-0.0097301890176995,0.1287736594627579,1.0,1.0,0.07047768206734534,0.07047768206734534,0.14095536413469067,147,115,134,147
27054.0,Roberto Lago,Roberto Lago Soto,Getafe,17,1409,1273,1.9828637456521392,0.0245386380702257,2.007402383722365,0.1266555976640827,0.0015674076836907,0.1282230053477734,0.0,2.0,0.0,0.127750177430802,0.127750177430802,212,44,143,148
6927.0,David García,David García Santana,Las Palmas,19,1665,1823,2.6370737133547664,-0.2936297347769141,2.343443978577852,0.1425445250462036,-0.0158718775555088,0.1266726474906947,2.0,1.0,0.1081081081081081,0.05405405405405405,0.16216216216216214,107,141,124,149
6880.0,Antonio Sanabria,Arnaldo Antonio Sanabria Ayala,Sporting Gijón,29,2312,1555,4.044122407651253,-0.7905440975446254,3.253578310106628,0.1574269103324449,-0.0307737754234499,0.126653134908995,11.0,1.0,0.4282006920415225,0.03892733564013841,0.4671280276816609,27,169,31,150
26633.0,Alberto Lora,Alberto Lora Ramos,Sporting Gijón,31,2524,2520,3.3132977455388755,0.2329132307786494,3.546210976317525,0.1181445313385494,0.0083051468978123,0.1264496782363618,0.0,3.0,0.0,0.10697305863708399,0.10697305863708399,212,59,158,151
