player_id,name,player_name,team_name,games,minutes,actions,offensive,defensive,vaep,offensive_p90,defensive_p90,vaep_p90
6393.0,Iñaki Williams,Iñaki Williams Arthuer,Athletic Club,25,1652,1334,6.248159976148978,-0.7490918227704242,5.499068153378554,0.3403961246086005,-0.04081008719693594,0.29958603741166456
6595.0,Dani Parejo,Daniel Parejo Muñoz,Valencia,33,2853,3827,9.893742071925388,-0.5379435506765731,9.355798521248815,0.3121054281364476,-0.01696982809705278,0.2951356000393948
6662.0,Iago Herrerín,Iago Herrerín Buisán,Athletic Club,2,180,134,0.40262212906964123,0.16599785193102434,0.5686199810006656,0.20131106453482064,0.08299892596551217,0.2843099905003328
5552.0,Marcelo,Marcelo Vieira da Silva Júnior,Real Madrid,30,2564,4210,8.225702919767471,-0.2212326698063407,8.00447024996113,0.28873372183271157,-0.00776557733329589,0.28096814449941565
26776.0,Isaac Cuenca,Juan Isaac Cuenca López,Granada,12,829,581,2.3761358375195414,0.14453019874054007,2.5206660362600815,0.25796408368728435,0.01569085390428059,0.27365493759156495
6844.0,Federico Ricca,Federico Ricca Rostagnol,Málaga,8,665,656,2.1104345158673823,-0.11084682666114531,1.999587689206237,0.28562271643317955,-0.015001826164666283,0.27062089026851327
26797.0,Piti,Francisco Medina Luna,Granada,16,843,712,2.735687360002194,-0.2296837440226227,2.506003615979571,0.292066266192405,-0.024521396158998867,0.26754487003340616
5470.0,Ivan Rakitić,Ivan Rakitić,Barcelona,36,2653,3757,7.851637148248497,-0.04980659039574675,7.8018305578527505,0.26635783767145293,-0.0016896317887739193,0.26466820588267903
7141.0,Giuseppe Rossi,Giuseppe Rossi,Levante UD,17,1180,901,3.702740710722029,-0.23683781456202269,3.4659028961600065,0.2824124270889683,-0.018063901110662747,0.26434852597830555
6680.0,Rubén Rochina,Rubén Rochina Naixes,Granada,35,2560,2983,7.599775691935327,-0.15875582862645388,7.441019863308873,0.26717961416960134,-0.005581259600148769,0.2615983545694526
