name,seed_20160817,seed_7,seed_1234,mean,spread,rank_move
Vicente Guaita,0.09319724971752709,0.10389069603207887,0.0999692812314422,0.0990190756603494,0.010693446314551783,16
Xabi Prieto,0.10236790075642917,0.09527824080264786,0.09648886772076257,0.09804500309327986,0.007089659953781302,13
Toño,0.09701108013940316,0.09981104665687285,0.09691915406711618,0.0979137602877974,0.002891892589756667,4
Joaquín,0.10471406392760042,0.09521815775264675,0.09206013036367688,0.09733078401464135,0.012653933563923539,25
Sergio Álvarez,0.1025248113400272,0.09416219745914063,0.09384287690135051,0.09684329523350611,0.00868193443867668,18
Santi Mina,0.10721643064897035,0.09655351108266483,0.0864375409568574,0.09673582756283088,0.020778889692112945,38
Saúl Ñíguez,0.09087684436240376,0.0960561906773628,0.10016170122755903,0.09569824542244186,0.009284856865155275,13
Ricardo Costa,0.09420760639125422,0.08939707709028341,0.10057503558604573,0.0947265730225278,0.011177958495762322,19
Simão,0.09164655973538835,0.09747289265140967,0.09443188590700435,0.09451711276460079,0.005826332916021318,8
Sergio Rico,0.08671856840103724,0.10033673024699828,0.09569381132758126,0.09424970332520559,0.013618161845961041,25
Antonio Adán,0.0919213839588816,0.09929615410322572,0.09006278188394322,0.0937601066486835,0.009233372219282499,14
Aritz Elustondo,0.09015146882415279,0.09547023798024441,0.09541722982890515,0.09367964554443413,0.005318769156091627,8
Ángel Lafita,0.08506014917078163,0.08708440821834282,0.1068986103553509,0.09301438924815845,0.02183846118456928,38
Sebastián Cristóforo,0.08861001878698732,0.09401080801600556,0.09424269364370344,0.09228784014889878,0.005632674856716119,8
Jérémy Mathieu,0.0892935553093429,0.0933694962196852,0.08967365668787373,0.09077890273896727,0.004075940910342302,2
Tito,0.08767514715699322,0.09005106723357634,0.09365137918783578,0.09045919785946845,0.005976232030842563,8
Óscar Duarte,0.09971905319974758,0.08430585324880667,0.08235089045483619,0.08879193230113014,0.01736816274491139,39
Rubén Duarte,0.09448533892567376,0.08953948064310038,0.08105591916136773,0.08836024624338062,0.013429419764306033,25
Sidnei,0.08780167414527759,0.0887239932709004,0.08785915690553735,0.08812827477390511,0.0009223191256228086,1
Marcos Angeleri,0.08049392611059178,0.09522707539099663,0.08506511485308452,0.08692870545155766,0.014733149280404853,22
Pichu,0.0850985389310066,0.08662495476975872,0.08905035008661254,0.08692461459579263,0.0039518111556059304,8
Carlos Kameni,0.08006323347285403,0.08878029383586776,0.09178448927716057,0.08687600552862745,0.011721255804306538,19
Antonio Barragán,0.09189419281760479,0.08279326395905506,0.08592825269998142,0.08687190315888042,0.009100928858549726,29
Carlos Carmona,0.0947334522279339,0.09339198622984057,0.0722616059479715,0.08679568146858198,0.022471846279962404,50
Zouhair Feddal,0.07962682617250301,0.08528203761914842,0.09374268078113407,0.08621718152426183,0.01411585460863106,24
Adrián González,0.08203547838528841,0.08620165523638051,0.08928570464486055,0.08584094608884314,0.00725022625957214,12
Javi Fuego,0.08852841683047112,0.08543894467354916,0.08347749062868602,0.0858149507109021,0.0050509262017851,12
Momo,0.09046881066829437,0.08739856770278753,0.07849888969217171,0.0854554226877512,0.011969920976122664,26
Stefan Šćepović,0.07633698965874489,0.0883815331863575,0.08604718890334735,0.08358857058281659,0.012044543527612611,22
Aythami Artiles,0.0804135270930109,0.08704805903453533,0.07956000016219761,0.08234052876324795,0.007488058872337722,9
Sergi Roberto,0.08979107336105493,0.08251976212000779,0.07303697325736017,0.08178260291280763,0.01675410010369477,36
Fernando Navarro,0.08173253335455696,0.08281883070371047,0.07798347853911686,0.08084494753246142,0.004835352164593618,12
Diego Llorente,0.07744596981655236,0.08521845695710666,0.07905051292062985,0.08057164656476296,0.007772487140554299,8
John Guidetti,0.0867570085773891,0.088167239144177,0.06637931268357847,0.08043452013504819,0.02178792646059853,42
Nacho Cases,0.07766284175750703,0.08171152209204328,0.08175946866571512,0.08037794417175514,0.004096626908208098,13
Enzo Pérez,0.08005862153571594,0.08645662091309335,0.07279974070802604,0.07977166105227844,0.013656880205067307,24
Adri Embarba,0.08041075926380947,0.08304791203997518,0.07575639378225943,0.07973835502868136,0.007291518257715748,12
